drop_type,mob_vnum,mob_name,mob_level,mob_exp,drop_slot,item_vnum,item_name,drop_rate,rate_scale,group_num,group_type
direct,23,Wolf,3,2300,0,37,,10000,roll_0_10000,,
direct,23,Wolf,3,2300,1,168,,10000,roll_0_10000,,
direct,23,Wolf,3,2300,2,365,,10000,roll_0_10000,,
direct,23,Wolf,3,2300,3,343,,10000,roll_0_10000,,
direct,23,Wolf,3,2300,4,326,,10000,roll_0_10000,,
direct,23,Wolf,3,2300,5,309,,10000,roll_0_10000,,
direct,23,Wolf,3,2300,6,431,,10000,roll_0_10000,,
direct,23,Wolf,3,2300,7,431,,10000,roll_0_10000,,
direct,23,Wolf,3,2300,8,146,,10000,roll_0_10000,,
direct,23,Wolf,3,2300,9,145,,10000,roll_0_10000,,
direct,24,White Tiger,12,8300,0,167,,10000,roll_0_10000,,
direct,24,White Tiger,12,8300,1,325,,10000,roll_0_10000,,
direct,24,White Tiger,12,8300,2,188,,10000,roll_0_10000,,
direct,24,White Tiger,12,8300,3,310,,10000,roll_0_10000,,
direct,24,White Tiger,12,8300,4,203,,10000,roll_0_10000,,
direct,24,White Tiger,12,8300,5,163,,10000,roll_0_10000,,
direct,24,White Tiger,12,8300,6,366,,10000,roll_0_10000,,
direct,24,White Tiger,12,8300,7,34,,10000,roll_0_10000,,
direct,24,White Tiger,12,8300,8,432,,10000,roll_0_10000,,
direct,24,White Tiger,12,8300,9,143,,10000,roll_0_10000,,
direct,25,Lada,5,3700,0,154,,10000,roll_0_10000,,
direct,25,Lada,5,3700,1,187,,10000,roll_0_10000,,
direct,25,Lada,5,3700,2,170,,10000,roll_0_10000,,
direct,25,Lada,5,3700,3,49,,10000,roll_0_10000,,
direct,25,Lada,5,3700,4,34,,10000,roll_0_10000,,
direct,25,Lada,5,3700,5,37,,10000,roll_0_10000,,
direct,25,Lada,5,3700,6,365,,10000,roll_0_10000,,
direct,25,Lada,5,3700,7,343,,10000,roll_0_10000,,
direct,25,Lada,5,3700,8,326,,10000,roll_0_10000,,
direct,25,Lada,5,3700,9,140,,10000,roll_0_10000,,
direct,26,Hell Cobra,25,17100,0,152,,10000,roll_0_10000,,
direct,26,Hell Cobra,25,17100,1,161,,10000,roll_0_10000,,
direct,26,Hell Cobra,25,17100,2,55,,10000,roll_0_10000,,
direct,26,Hell Cobra,25,17100,3,439,,10000,roll_0_10000,,
direct,26,Hell Cobra,25,17100,4,150,,10000,roll_0_10000,,
direct,26,Hell Cobra,25,17100,5,211,,10000,roll_0_10000,,
direct,26,Hell Cobra,25,17100,6,147,,10000,roll_0_10000,,
direct,26,Hell Cobra,25,17100,7,133,,10000,roll_0_10000,,
direct,26,Hell Cobra,25,17100,8,189,,10000,roll_0_10000,,
direct,26,Hell Cobra,25,17100,9,193,,10000,roll_0_10000,,
direct,31,Dino,30,23200,0,150,,10000,roll_0_10000,,
direct,31,Dino,30,23200,1,468,,10000,roll_0_10000,,
direct,31,Dino,30,23200,2,465,,10000,roll_0_10000,,
direct,31,Dino,30,23200,3,439,,10000,roll_0_10000,,
direct,31,Dino,30,23200,4,311,,10000,roll_0_10000,,
direct,31,Dino,30,23200,5,367,,10000,roll_0_10000,,
direct,31,Dino,30,23200,6,327,,10000,roll_0_10000,,
direct,31,Dino,30,23200,7,345,,10000,roll_0_10000,,
direct,31,Dino,30,23200,8,133,,10000,roll_0_10000,,
direct,31,Dino,30,23200,9,147,,10000,roll_0_10000,,
direct,37,Oniam,35,31100,0,460,,10000,roll_0_10000,,
direct,37,Oniam,35,31100,1,160,,10000,roll_0_10000,,
direct,37,Oniam,35,31100,2,60,,10000,roll_0_10000,,
direct,37,Oniam,35,31100,3,440,,10000,roll_0_10000,,
direct,37,Oniam,35,31100,4,157,,10000,roll_0_10000,,
direct,37,Oniam,35,31100,5,468,,10000,roll_0_10000,,
direct,37,Oniam,35,31100,6,465,,10000,roll_0_10000,,
direct,37,Oniam,35,31100,7,133,,10000,roll_0_10000,,
direct,37,Oniam,35,31100,8,190,,10000,roll_0_10000,,
direct,37,Oniam,35,31100,9,194,,10000,roll_0_10000,,
direct,38,War Giant,190,6000000,0,624,,10000,roll_0_10000,,
direct,38,War Giant,190,6000000,1,629,,10000,roll_0_10000,,
direct,38,War Giant,190,6000000,2,633,,10000,roll_0_10000,,
direct,38,War Giant,190,6000000,3,880,,10000,roll_0_10000,,
direct,38,War Giant,190,6000000,5,881,,10000,roll_0_10000,,
direct,38,War Giant,190,6000000,6,885,,10000,roll_0_10000,,
direct,38,War Giant,190,6000000,7,889,,10000,roll_0_10000,,
direct,38,War Giant,190,6000000,8,899,,10000,roll_0_10000,,
direct,39,Moke,25,17100,0,150,,10000,roll_0_10000,,
direct,39,Moke,25,17100,1,161,,10000,roll_0_10000,,
direct,39,Moke,25,17100,2,55,,10000,roll_0_10000,,
direct,39,Moke,25,17100,3,144,,10000,roll_0_10000,,
direct,39,Moke,25,17100,4,462,,10000,roll_0_10000,,
direct,39,Moke,25,17100,5,211,,10000,roll_0_10000,,
direct,39,Moke,25,17100,6,147,,10000,roll_0_10000,,
direct,39,Moke,25,17100,7,133,,10000,roll_0_10000,,
direct,39,Moke,25,17100,8,189,,10000,roll_0_10000,,
direct,39,Moke,25,17100,9,193,,10000,roll_0_10000,,
direct,40,Grem,45,53800,0,212,,10000,roll_0_10000,,
direct,40,Grem,45,53800,1,181,,10000,roll_0_10000,,
direct,40,Grem,45,53800,2,466,,10000,roll_0_10000,,
direct,40,Grem,45,53800,3,440,,10000,roll_0_10000,,
direct,40,Grem,45,53800,4,463,,10000,roll_0_10000,,
direct,40,Grem,45,53800,5,211,,10000,roll_0_10000,,
direct,40,Grem,45,53800,6,466,,10000,roll_0_10000,,
